Perspective,Predicted,Actual,Answers,question,Input_spans
INFORMATION,<pad> Coronavirus (CVV) is a common cause of a cold sore.</s>,"Cold sores typically last for about a week to ten days in children and can extend to 2-3 weeks in adults. While the flare-ups are temporary, the herpes simplex virus responsible for cold sores remains with the infected person, potentially causing recurrent flare-ups in the future. It's important to note that individual experiences with cold sores can vary, and seeking medical advice for appropriate treatment and management is advisable.","['A week to ten days in a child, to 2-3 weeks in adults. Although the flare ups are temporary, the virus stays with the infected person to cause flare ups in the future .', 'a couple of weeks']",What is the normal life spand of a cold sore?,"A week to ten days in a child, to 2-3 weeks in adults. Although the flare ups are temporary, the virus stays with the infected person to cause flare ups in the future a couple of weeks "
INFORMATION,ing only nose is the usual way of breathing.</s>,"Breathing exclusively through the nose is the typical and natural way of breathing. Most people don't consciously pay attention to their breathing due to its involuntary nature. However, focusing on how you breathe can potentially increase anxiety and hinder the ability to fall asleep quickly. Nose breathing accumulates more heat in the body, while breathing through the mouth dissipates heat. There are various benefits associated with nose breathing, as outlined in a provided source. While individual variations exist, overall metabolism is influenced by factors such as breathing, muscular activity, and heart rate. The example of Neanderthals having larger, more open noses illustrates how breathing patterns can adapt to specific needs, such as rapid breathing for heat conservation. In summary, breathing through the nose is generally considered normal, and there is no need for concern about potential issues.","[""Well, breathing only through your nose is the typical way of breathing, so I'm not sure what about breathing only through your nose is a problem for you.\n\nBreathing being involutary, most people do not pay attention to how they breathe. Paying attention to how you breathe probably does have the effect of making you more anxious and it would seem to keep you from going to sleep as quickly as you would if you weren't always monitoring your breathing. Monitoring your breathing keeps you alert rather than helping you relax and fall asleep.\n\nMy notion: you are too focused on how you breath. As long as you don't have mechanical difficulties breathing then it doesn't matter how you breathe. Work on not paying attention to this...."", ""When you breathe through only nose, more heat accumulates in your body. Breatheing through mouth dissapates heat.\n\nAnd there are more benefits of doing so. Its considered bad to breathe through mouth for some reasons.\n\nhttp://www.breathing.com/articles/nose-breathing.htm\n\nSo there is nothing to worry about for your problem. You are perfectly alright.\n\nOne more thing is that, even though we all are alike, but our overall ability of matabolism is a balance of this breathing and our other muscular factors and ofcourse number of times our hearts beat. For example, the Neanderthals used to have bigger and more open nose, so as to breathe rapidly and conserve heat. So you are what you are made of and don't try to fight it, unless its uncomfortable for you.""]",why is it i breathe through my nose only when sleeping?,"breathing only through your nose is the typical way of breathing, so I'm not sure what about breathing only through your nose is a problem for you.Breathing being involutary, most people do not pay attention to how they breathe. Paying attention to how you breathe probably does have the effect of making you more anxious and it would seem to keep you from going to sleep as quickly as you would if you weren't always monitoring your breathing. Monitoring your breathing keeps you alert rather than helping you relax and fall asleep When you breathe through only nose, more heat accumulates in your body. Breatheing through mouth dissapates heat.And there are more benefits of doing so. Its considered bad to breathe through mouth for some reasons.http://www.breathing.com/articles/nose-breathing.htmSo there is nothing to worry about for your problem. even though we all are alike, but our overall ability of matabolism is a balance of this breathing and our other muscular factors and ofcourse number of times our hearts beat. For example, the Neanderthals used to have bigger and more open nose, so as to breathe rapidly and conserve heat "
SUGGESTION,ing only nose is a problem for you.</s>,"It is recommended not to overly focus on how you breathe, especially if there are no mechanical difficulties. As long as breathing is not causing discomfort, there is no need to actively try to change it. The advice is to work on not paying excessive attention to your breathing and to avoid fighting against natural breathing patterns unless it becomes uncomfortable for you.","[""Well, breathing only through your nose is the typical way of breathing, so I'm not sure what about breathing only through your nose is a problem for you.\n\nBreathing being involutary, most people do not pay attention to how they breathe. Paying attention to how you breathe probably does have the effect of making you more anxious and it would seem to keep you from going to sleep as quickly as you would if you weren't always monitoring your breathing. Monitoring your breathing keeps you alert rather than helping you relax and fall asleep.\n\nMy notion: you are too focused on how you breath. As long as you don't have mechanical difficulties breathing then it doesn't matter how you breathe. Work on not paying attention to this...."", ""When you breathe through only nose, more heat accumulates in your body. Breatheing through mouth dissapates heat.\n\nAnd there are more benefits of doing so. Its considered bad to breathe through mouth for some reasons.\n\nhttp://www.breathing.com/articles/nose-breathing.htm\n\nSo there is nothing to worry about for your problem. You are perfectly alright.\n\nOne more thing is that, even though we all are alike, but our overall ability of matabolism is a balance of this breathing and our other muscular factors and ofcourse number of times our hearts beat. For example, the Neanderthals used to have bigger and more open nose, so as to breathe rapidly and conserve heat. So you are what you are made of and don't try to fight it, unless its uncomfortable for you.""]",why is it i breathe through my nose only when sleeping?,"you are too focused on how you breath. As long as you don't have mechanical difficulties breathing then it doesn't matter how you breathe. Work on not paying attention to this don't try to fight it, unless its uncomfortable for you "
INFORMATION,<pad> Breastfeeding is not a healthy option for women with bipolar disorder.</s>,"Individuals with bipolar disorder can indeed become parents, and their ability to be effective parents largely depends on the management of their condition. Maintaining a close relationship with health professionals, following prescribed treatments, and having a support system in place are crucial for ensuring that bipolar disorder does not adversely affect their parenting. If symptoms are well-managed, individuals with bipolar disorder can lead healthy and fulfilling family lives. However, adherence to medical advice and ongoing support are key factors in their success as parents.","[""Yes, they can. However, they should maintain a close relationship with their health professional and/or counselor to make sure that their disorder is not affecting their parenting. If their symptoms are under control, there is no reason that they can't be a healthy parent.\n\nDr. Barb Nefer, http://www.bnlifeskills.com"", 'It depends on whether or not she follows the doctors instructions', 'yes they can be good mothers. I have 3 kids and i have borderline personality disorder and it does not effect me in doing the job i need to do.']",Can women with bipolar be good mothers?,"Yes, they can. However, they should maintain a close relationship with their health professional and/or counselor to make sure that their disorder is not affecting their parenting. If their symptoms are under control, there is no reason that they can't be a healthy paren : It depends on whether or not she follows the doctors instructions "
EXPERIENCE,"<pad> ADHD, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dyspnea, dys","Individuals with bipolar disorder can be good mothers, as expressed by one person with three kids who also has borderline personality disorder. They emphasize that their condition does not hinder them from fulfilling their parenting responsibilities.","[""Yes, they can. However, they should maintain a close relationship with their health professional and/or counselor to make sure that their disorder is not affecting their parenting. If their symptoms are under control, there is no reason that they can't be a healthy parent.\n\nDr. Barb Nefer, http://www.bnlifeskills.com"", 'It depends on whether or not she follows the doctors instructions', 'yes they can be good mothers. I have 3 kids and i have borderline personality disorder and it does not effect me in doing the job i need to do.']",Can women with bipolar be good mothers?,2: yes they can be good mothers. I have 3 kids and i have borderline personality disorder and it does not effect me in doing the job i need to do. 
SUGGESTION, your doctor's instructions. Follow your doctor's instructions. Follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow,"Some suggestions to reduce high blood pressure without medication include reducing salt and sugar intake, avoiding metal and physical stree, sleeping for 7 plus hours, practicing slow breathing, doing yoga and meditation, brisk walking, losing wight, eating garlic or 100 gms of dark chocolate, a glass of wine might help. However, these suggestions must be undertaken post consultation with a doctor.","['Watch the salt & sugar.', 'Salt restricted diet, avoid mental and physical stress, good sleep  for at least 7 hours a day and in the after noon a relaxation of mind for half an hour. listening to Carnatic music, have yoga, and meditation . Weekly holiday from the work  and enjoying the  company of  family and friends.  Taking everything in life positvely and lightly.  If this fails consult the doctor for Medicines.', 'PsychProf and SnuggleBunny are exactly correct. COnsult with your md -- controlling hypertension is important and should be done under the active supervision of a doctor (preferably one who treats hypertension on a fairly regular basis.)', 'they say if you practice meditation slow your breathing and free your mind i tried it this actually helps', 'Treatment for high blood pressure depends on the severity of the disease and whether you have other health problems, such as heart failure or diabetes, or you are pregnant. Your doctor may want you to try lifestyle changes first, including losing weight, increasing activity, and eating a balanced diet. If your blood pressure is above a certain level, your doctor may prescribe medication along with the lifestyle changes.', ""There are a number of things you can do to reduce your blood pressure either instead of medication or along with medication. Of course you should follow your doctor's instructions with regard to any medical treatment.\n\nThere are some things that do help lower blood pressure:\n\n1. Lose weight--get down to your appropriate body mass index (see http://www.consumer.gov/weightloss/bmi.htm)\n\n2. Exercise. Moderate exercise--such as brisk walking--can help manage weight and blood pressure.\n\n3. Eat the DASH diet. This is a diet that has been shown to reduce blood pressure. See http://www.nhlbi.nih.gov/health/public/heart/hbp/dash/\n\n(For more information on exercise and diet see http://www.webmd.com/content/article/17/1676_51611?src=Inktomi&condition=Fitness)\n\n4. Relaxation exercises: Some people can lower blood pressure through relaxation (see http://www.utsouthwestern.edu/utsw/cda/dept16498/files/143155.html). Ten Ways to Reduce Stress and Relax: http://www.drweil.com/u/Article/M131/\n\nHope this is helpful to you!"", 'Stay away from the salt', 'eat a couple clove of garlic, every morning every day ... sure your breath stinks ... but it do lower the pressure', 'Lose weight', ""Buy the odor-free garlic pills and take that everyday. If you don't want garlic pills then why not try 100grams of DARK chocolate everyday. It has to be dark chocolate not milk chocolate.  \nAlso, a glass of red wine a day will usually bring it down.""]",How can you lower your  blood pressure without taking medication?,"Watch the salt & suga Salt restricted diet, avoid mental and physical stress, good sleep  for at least 7 hours a day and in the after noon a relaxation of mind for half an hour. listening to Carnatic music, have yoga, and meditation If this fails consult the doctor for Medicines COnsult with your md -- controlling hypertension is important and should be done under the active supervision of a doctor they say if you practice meditation slow your breathing and free your mind i tried it this actually helps 1. Lose weight--get down to your appropriate body mass index 2. Exercise. Moderate exercise--such as brisk walking--can help manage weight and blood pressure. 3. Eat the DASH diet. This is a diet that has been shown to reduce blood pressure eat a couple clove of garlic, every morning every day ... sure your breath stinks ... but it do lower the pressure Lose weight Buy the odor-free garlic pills and take that everyday. If you don't want garlic pills then why not try 100grams of DARK chocolate everyday. It has to be dark chocolate not milk chocolate.  Also, a glass of red wine a day will usually bring it down "
INFORMATION, your doctor's instructions. Follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions. Follow your doctor's instructions and follow your doctor's instructions.</s>,"Treatment for high blood pressure depends on the severity of the disease and whether one has other health conditions like a heart failure, diabetes, pregnancy etc. Solutions might include lifestyle changes, losing weight, increasing activity, and eating a balanced diet. If the blood pressure is above a certain threshold, medication might be prescribed alongwith the lifestyle changes.","['Watch the salt & sugar.', 'Salt restricted diet, avoid mental and physical stress, good sleep  for at least 7 hours a day and in the after noon a relaxation of mind for half an hour. listening to Carnatic music, have yoga, and meditation . Weekly holiday from the work  and enjoying the  company of  family and friends.  Taking everything in life positvely and lightly.  If this fails consult the doctor for Medicines.', 'PsychProf and SnuggleBunny are exactly correct. COnsult with your md -- controlling hypertension is important and should be done under the active supervision of a doctor (preferably one who treats hypertension on a fairly regular basis.)', 'they say if you practice meditation slow your breathing and free your mind i tried it this actually helps', 'Treatment for high blood pressure depends on the severity of the disease and whether you have other health problems, such as heart failure or diabetes, or you are pregnant. Your doctor may want you to try lifestyle changes first, including losing weight, increasing activity, and eating a balanced diet. If your blood pressure is above a certain level, your doctor may prescribe medication along with the lifestyle changes.', ""There are a number of things you can do to reduce your blood pressure either instead of medication or along with medication. Of course you should follow your doctor's instructions with regard to any medical treatment.\n\nThere are some things that do help lower blood pressure:\n\n1. Lose weight--get down to your appropriate body mass index (see http://www.consumer.gov/weightloss/bmi.htm)\n\n2. Exercise. Moderate exercise--such as brisk walking--can help manage weight and blood pressure.\n\n3. Eat the DASH diet. This is a diet that has been shown to reduce blood pressure. See http://www.nhlbi.nih.gov/health/public/heart/hbp/dash/\n\n(For more information on exercise and diet see http://www.webmd.com/content/article/17/1676_51611?src=Inktomi&condition=Fitness)\n\n4. Relaxation exercises: Some people can lower blood pressure through relaxation (see http://www.utsouthwestern.edu/utsw/cda/dept16498/files/143155.html). Ten Ways to Reduce Stress and Relax: http://www.drweil.com/u/Article/M131/\n\nHope this is helpful to you!"", 'Stay away from the salt', 'eat a couple clove of garlic, every morning every day ... sure your breath stinks ... but it do lower the pressure', 'Lose weight', ""Buy the odor-free garlic pills and take that everyday. If you don't want garlic pills then why not try 100grams of DARK chocolate everyday. It has to be dark chocolate not milk chocolate.  \nAlso, a glass of red wine a day will usually bring it down.""]",How can you lower your  blood pressure without taking medication?,"Treatment for high blood pressure depends on the severity of the disease and whether you have other health problems, such as heart failure or diabetes, or you are pregnant. Your doctor may want you to try lifestyle changes first, including losing weight, increasing activity, and eating a balanced diet. If your blood pressure is above a certain level, your doctor may prescribe medication along with the lifestyle changes "
INFORMATION,<pad> SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFICANT SIGNIFIC,"The first instance a girl has her period signifies that her body is now capable of becoming pregnant, as menstruation indicates her ability to conceive a child. Subsequent menstrual cycles, however, imply that she is not currently pregnant. Ovulation is the process during which a girl releases an egg into the uterus, where it is surrounded by a thick endometrial layer for potential fertilization by a man's sperm. If the egg remains unfertilized, both the egg and the endometrial layer are discharged from the body, resulting in menstruation. This biological process signifies the girl's reproductive capability, marking a pivotal moment in her transition to womanhood and her potential to bear children.","[""the first time it happens it means that no matter the age her body is capable of being pregnant, after the first time it means that she's not pregnant."", ""When a girl has her period it means that she is now able to concieve a child (get pregnant). Ovulation; the process when a girl releases an ovum (egg) into the uterus (which has accumulated a thick endometrial layer to accomodate the egg) to be fertilized by a man's sperm. If this egg is not fertilized, it is released from the body along with the endometrial layer; that is why a girl bleeds and has her period. Hope this helps answer your question."", 'THAT SHE IS BECOMEING A WOMAN\nOR THAT SHE CAN GET BABIES']",what does it mean when a girl has a period?,": the first time it happens it means that no matter the age her body is capable of being pregnant, after the first time it means that she's not pregnant When a girl has her period it means that she is now able to concieve a child (get pregnant). Ovulation; the process when a girl releases an ovum (egg) into the uterus (which has accumulated a thick endometrial layer to accomodate the egg) to be fertilized by a man's sperm. If this egg is not fertilized, it is released from the body along with the endometrial layer; that is why a girl bleeds and has her period. Hope this helps answer your question THAT SHE IS BECOMEING A WOMANOR THAT SHE CAN GET BABIES "
SUGGESTION," yourself for your accomplishments. Do leg lifts, side bends, side bends and stand ups. Do leg lifts, side bends and stand ups. Do leg lifts, side bends and stand ups. Do leg lifts, side bends and stand ups. Do leg lifts, side bends and stand ups. Do leg lifts, side bends and stand ups. Do leg lifts, side bends and stand","To lose weight, it's recommended to incorporate both cardio and core exercises into your routine, such as pilates or general ab exercises. Aim for at least 30 minutes of cardio four to three times a week, coupled with core workouts. Starting with activities like brisk walking is efficient, easy on the knees, and accessible anywhere. Various programs, including pilates and core DVDs, are available on platforms like Amazon and Collage Video, where you can preview DVDs to find a suitable beginner-level program. Avoid advanced DVDs, as it's important to choose a routine that is manageable for you. Cardio exercises help burn fat covering the abs, contributing to a more sculpted appearance. Pay attention to your diet, incorporating whole grains, fruits, and vegetables while minimizing simple carbs like chips or candy. Following the food pyramid and exercising regularly forms the foundation for a healthy lifestyle. Achieving fitness goals is a long-term commitment, not a short-term fix. Prioritize a balanced diet and regular exercise, making it a lifestyle choice rather than a temporary solution. This approach not only helps in achieving physical goals but also contributes to overall well-being and long-term satisfaction. Maintaining a healthy lifestyle is important for personal well-being and can positively impact relationships.","[""You must do cardio and core exercises like pilates or general ab exercises.\n\nYou need to at least 30 minutes of cardio four/three times a week following core work.\n\nTher a variety of programs that can help with this.  If you aren't working out now.  Start by walking.  It's efficent, easy on the knees and you can do it anywhere.  Don't stroll walk with purpose in good shoes. \n\nThere are lots of pilates and core DVDs on Amazon and Collage Video.  Collage video will let you preview DVDs.  Look for one tailored for a beginner.  Don't buy a DVD that's advanced because you think it will work faster.  It won't because you won't do it.  You want something that is doable for you.\n\nThe cardio burns away the fat that may be covering the abs.  \n\nThere must a reason why you are not feeling satisfied.  Eat lots of whole grains, lots of fruit and veggies.  Simple carbs like chips or candy don't fill you up."", 'Eat according to the food pyramid and exercise more.', 'you shouldnt be looking for a short term fix. you need to eat right exercise make it a lifestyle for yourself. you want to keep your love not scare them off 6 months after you get married cause you ballooned in weight. to keep that special someone you got to take care of yourself. put yourself first love yourself for your accomplishments then everything will fall into place. i do leg lifts, side bends, i cant do sit ups on the floor so i do other things to suppliment it. i lift up off the floor and lift my legs up and down.  you can find alot of exercises off internet.']",How can i get a flat tummy?,"You must do cardio and core exercises like pilates or general ab exercises.You need to at least 30 minutes of cardio four/three times a week following core work.Ther a variety of programs that can help with this.  If you aren't working out now.  Start by walking.  It's efficent, easy on the knees and you can do it anywhere.  Don't stroll walk with purpose in good shoes. There are lots of pilates and core DVDs on Amazon and Collage Video.  Collage video will let you preview DVDs.  Look for one tailored for a beginner.  Don't buy a DVD that's advanced because you think it will work faster.  It won't because you won't do it.  You want something that is doable for you.The cardio burns away the fat that may be covering the abs.  There must a reason why you are not feeling satisfied.  Eat lots of whole grains, lots of fruit and veggies.  Simple carbs like chips or candy don't fill you up : Eat according to the food pyramid and exercise more. ou shouldnt be looking for a short term fix. you need to eat right exercise make it a lifestyle for yourself. you want to keep your love not scare them off 6 months after you get married cause you ballooned in weight. to keep that special someone you got to take care of yourself. put yourself first love yourself for your accomplishments then everything will fall into place "
EXPERIENCE," at least 30 minutes of cardio four/three times a week. Do leg lifts, side bends, side bends and stand ups on the floor.</s>","To lose weight, one individual does let lifts, side bends, but can not do sit ups on the floor so they do other things to supplement it They lift off the floor and lift their legs up and down, they have found many exercise online.e.","[""You must do cardio and core exercises like pilates or general ab exercises.\n\nYou need to at least 30 minutes of cardio four/three times a week following core work.\n\nTher a variety of programs that can help with this.  If you aren't working out now.  Start by walking.  It's efficent, easy on the knees and you can do it anywhere.  Don't stroll walk with purpose in good shoes. \n\nThere are lots of pilates and core DVDs on Amazon and Collage Video.  Collage video will let you preview DVDs.  Look for one tailored for a beginner.  Don't buy a DVD that's advanced because you think it will work faster.  It won't because you won't do it.  You want something that is doable for you.\n\nThe cardio burns away the fat that may be covering the abs.  \n\nThere must a reason why you are not feeling satisfied.  Eat lots of whole grains, lots of fruit and veggies.  Simple carbs like chips or candy don't fill you up."", 'Eat according to the food pyramid and exercise more.', 'you shouldnt be looking for a short term fix. you need to eat right exercise make it a lifestyle for yourself. you want to keep your love not scare them off 6 months after you get married cause you ballooned in weight. to keep that special someone you got to take care of yourself. put yourself first love yourself for your accomplishments then everything will fall into place. i do leg lifts, side bends, i cant do sit ups on the floor so i do other things to suppliment it. i lift up off the floor and lift my legs up and down.  you can find alot of exercises off internet.']",How can i get a flat tummy?,"do leg lifts, side bends, i cant do sit ups on the floor so i do other things to suppliment it. i lift up off the floor and lift my legs up and down.  you can find alot of exercises off internet. "
INFORMATION,"<pad> Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists, Pharmacists",Tofu is one of the most effective balanced nutritional product.,"['Tofu', 'Twinkies', 'Spirulina']","What is the safest, most effective, highest quality, and most comprehensive and balanced nutritional product?",Tofu 
INFORMATION," yourself with a condom, if you don't use a condom, or if you don't know their sexual habits extremely well.</s>",HIV AIDS diagnosis can be done with a blood test. One should seek an appointment with a doctor.,"['With a blood analysis, searching for it.', 'go to the doctor', ""First, you'll need to contract HIV. The quickest and most pleasant way is to have unprotected intercourse with prostitutes or homosexual men, but you can get it from just about anyone if you don't use a condom and you don't know their sexual habits extremely well. Take a trip to Africa or Jamaica for better results. You could also shoot up heroin with some junkies and make sure you use their needles. Then go to your doctor or a free clinic and ask them to administer an HIV test. If you were successful, they will diagnose you with HIV, or AIDS if you've had HIV long enough for it to develop. Use condoms!""]",how do you get diagnosed with aids or hiv?,With a blood analysis go to the doctor 
SUGGESTION,"ness, sexual habits, etc, etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc etc",One should seek consultation with a doctor or a visit a free clinic to request an HIV test,"['With a blood analysis, searching for it.', 'go to the doctor', ""First, you'll need to contract HIV. The quickest and most pleasant way is to have unprotected intercourse with prostitutes or homosexual men, but you can get it from just about anyone if you don't use a condom and you don't know their sexual habits extremely well. Take a trip to Africa or Jamaica for better results. You could also shoot up heroin with some junkies and make sure you use their needles. Then go to your doctor or a free clinic and ask them to administer an HIV test. If you were successful, they will diagnose you with HIV, or AIDS if you've had HIV long enough for it to develop. Use condoms!""]",how do you get diagnosed with aids or hiv?,Then go to your doctor or a free clinic and ask them to administer an HIV test. 
CAUSE, or if you don't use a condom.</s>,Acquired immunodeficiency syndrome (AIDS) is caused by Human immunodeficiency virus.,"['With a blood analysis, searching for it.', 'go to the doctor', ""First, you'll need to contract HIV. The quickest and most pleasant way is to have unprotected intercourse with prostitutes or homosexual men, but you can get it from just about anyone if you don't use a condom and you don't know their sexual habits extremely well. Take a trip to Africa or Jamaica for better results. You could also shoot up heroin with some junkies and make sure you use their needles. Then go to your doctor or a free clinic and ask them to administer an HIV test. If you were successful, they will diagnose you with HIV, or AIDS if you've had HIV long enough for it to develop. Use condoms!""]",how do you get diagnosed with aids or hiv?,you'll need to contract HIV 
SUGGESTION,"<pad> Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology","Reduce sugar intake, maintain a daily face washing routine, avoid popping pimples as it worsens the condition, and refrain from touching pimples, especially with dirty hands. These practices contribute to better skincare and can help prevent exacerbation of skin issues.","[""CUT BACK ON SUGARS\nWASH UR FACE DAILY\nDON'T POP UR PIMPLES, IT WILL ONLY MAKE IT WORSE\nDON'T TOUCH UR PIMPLES(ESPECIALLY IF UR HANDS R DIRTY)"", ""Here's an article on treating acne naturally:\n\nhttp://acne.fanaticshome.com/Articles/Home_Treatment_for_Acne_-_a_non-chemical_approach.php"", 'The best bang for the buck of anything I have ever tried is gylcolic acid products or peels.  It is a natural sugar acid which exfoliates deep into the skin and safe.']","How can I get rid of pimples and acne by natural means, without money-wasting?",": CUT BACK ON SUGARSWASH UR FACE DAILYDON'T POP UR PIMPLES, IT WILL ONLY MAKE IT WORSEDON'T TOUCH UR PIMPLES(ESPECIALLY IF UR HANDS R DIRTY "
INFORMATION,"<pad> Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology",This is  an article on treating acne naturally: http://acne.fanaticshome.com/Articles/Home_Treatment_for_Acne_-_a_non-chemical_approach.php.gylcolic. Glycolic acid products or peels are a natural sugar acid which exfoliates deep into the skin and is safe.,"[""CUT BACK ON SUGARS\nWASH UR FACE DAILY\nDON'T POP UR PIMPLES, IT WILL ONLY MAKE IT WORSE\nDON'T TOUCH UR PIMPLES(ESPECIALLY IF UR HANDS R DIRTY)"", ""Here's an article on treating acne naturally:\n\nhttp://acne.fanaticshome.com/Articles/Home_Treatment_for_Acne_-_a_non-chemical_approach.php"", 'The best bang for the buck of anything I have ever tried is gylcolic acid products or peels.  It is a natural sugar acid which exfoliates deep into the skin and safe.']","How can I get rid of pimples and acne by natural means, without money-wasting?",Here's an article on treating acne naturally:http://acne.fanaticshome.com/Articles/Home_Treatment_for_Acne_-_a_non-chemical_approach.php gylcolic acid products or peels.  It is a natural sugar acid which exfoliates deep into the skin and safe 
EXPERIENCE,"<pad> Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology, Dermatology",An individual found the best treatment for acne by natural means to be glycolic acid products or peels.,"[""CUT BACK ON SUGARS\nWASH UR FACE DAILY\nDON'T POP UR PIMPLES, IT WILL ONLY MAKE IT WORSE\nDON'T TOUCH UR PIMPLES(ESPECIALLY IF UR HANDS R DIRTY)"", ""Here's an article on treating acne naturally:\n\nhttp://acne.fanaticshome.com/Articles/Home_Treatment_for_Acne_-_a_non-chemical_approach.php"", 'The best bang for the buck of anything I have ever tried is gylcolic acid products or peels.  It is a natural sugar acid which exfoliates deep into the skin and safe.']","How can I get rid of pimples and acne by natural means, without money-wasting?",The best bang for the buck of anything I have ever tried is gylcolic acid products or peels 
CAUSE,galactin (Sildenafil citrate) is a side-effect of Viagra.</s>,This is due to the linings of the nasal passage containing erectile tissue. A congested nose happens when the membranes lining in the nose become swollen From inflamed blood vessels.,"['This happens because the linings of your nasal passages contain erectile tissue.\n\nFrom a Royal Society of Medicine site primarily about Viagra:\n\n""Sildenafil citrate, the drug behind the brand name Viagra, works by acting on erectile tissue. This does not just affect the penis though: parts of the nose also contain erectile tissue. Cases of ""honeymoon rhinitis"", where men and women experience nasal stuffiness during sex, have already been well documented, and it is listed as a side-effect of Viagra.""', 'should of swallowed', 'A congested nose happens when the membranes lining the nose become swollen from inflamed blood vessels.', 'After orgasm, there is generalized vasodilation (relaxation and widening of blood vessels throughout the body). There are tiny, sensitive blood vessels in the nasal passages, and when the blood vessels there dilate after sex, you feel blockage or stufiness. It should resolve in a few  minutes, once the body goes back to normal mode.']",nose nasal blockage after sex ???? why pls explain....?,the linings of your nasal passages contain erectile tissue. A congested nose happens when the membranes lining the nose become swollen from inflamed blood vessels. 
